service_type,position_location,occupation_series,occupation_name,grade_code,low_grade,high_grade,usajobs_control_number,position_title,hiring_agency,position_open_date,position_close_date,occupation_full,grade_level
Excepted,"Hibbing, Minnesota",0647,Diagnostic Radiologic Technologist,GS-5/8,5,8,843893800,Diagnostic Radiologic Technologist,Department of Veterans Affairs,2025-08-20 15:14:17.193,2025-09-26T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-5/8
Excepted,"Hibbing, Minnesota",0647,Diagnostic Radiologic Technologist,GS-5/8,5,8,843895900,Diagnostic Radiologic Technologist,Department of Veterans Affairs,2025-08-20 15:19:57.883,2025-09-26T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-5/8
Excepted,"Birmingham, Alabama",0647,Diagnostic Radiologic Technologist,GS-9,9,9,844059000,Diagnostic Radiologic Technologist (MRI),Department of Veterans Affairs,2025-08-22 07:48:01.503,2025-09-30T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-9
Excepted,"Albuquerque, New Mexico",0647,Diagnostic Radiologic Technologist,GS-9,9,9,844069800,Diagnostic Radiologic Technologist (MRI),Department of Veterans Affairs,2025-08-22 09:14:29.343,2025-09-22T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-9
Excepted,"Temple, Texas",0647,Diagnostic Radiologic Technologist,GS-9,9,9,844201400,Diagnostic Radiologic Technologist (MRI),Department of Veterans Affairs,2025-08-25 00:00:00.000,2025-09-11T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-9
Excepted,"Iowa City, Iowa",0647,Diagnostic Radiologic Technologist,GS-5/8,5,8,844284100,Diagnostic Rad Tech (Gen),Department of Veterans Affairs,2025-08-26 08:23:30.290,2025-09-26T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-5/8
Excepted,"Temple, Texas",0647,Diagnostic Radiologic Technologist,GS-5/8,5,8,844351500,Diagnostic Radiologic Technologist,Department of Veterans Affairs,2025-08-26 14:07:41.097,2026-02-26T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-5/8
Excepted,"Hampton, Virginia",0647,Diagnostic Radiologic Technologist,GS-9,9,9,844415100,Diagnostic Radiologic Technologist- Ultrasound,Department of Veterans Affairs,2025-08-27 09:14:32.193,2025-09-12T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-9
Excepted,"Tuscaloosa, Alabama",0647,Diagnostic Radiologic Technologist,GS-10,10,10,844490100,Advanced Diagnostic Radiologic Technologist (Computed Tomography - CT),Department of Veterans Affairs,2025-08-28 00:00:00.000,2025-09-26T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-10
Excepted,"Syracuse, New York",0647,Diagnostic Radiologic Technologist,GS-8,8,8,844544600,Diagnostic Radiologic Technologist,Department of Veterans Affairs,2025-08-19 00:00:00.000,2025-09-26T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-8
Excepted,"San Diego, California",0647,Diagnostic Radiologic Technologist,GS-10,10,10,844575500,Diagnostic Radiologic Technician ( Special Procedures),Department of Veterans Affairs,2025-08-29 00:00:00.000,2025-09-25T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-10
Excepted,"Santa Rosa, California",0647,Diagnostic Radiologic Technologist,GS-10,10,10,844607800,Lead Diagnostic Radiologic Technologist (CBOC) (CT),Department of Veterans Affairs,2025-08-29 00:00:00.000,2025-09-12T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-10
Competitive,"Fort Benning, Georgia",0647,Diagnostic Radiologic Technologist,GS-7,7,7,844717000,Diagnostic Radiologic Technologist,Department of Defense,2025-09-03 00:00:00.000,2025-09-17T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-7
Excepted,"Asheville, North Carolina",0647,Diagnostic Radiologic Technologist,GS-9,9,9,844753900,Diag Rad Tech (MRI),Department of Veterans Affairs,2025-09-02 09:19:33.327,2025-09-16T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-9
Excepted,"San Diego, California",0647,Diagnostic Radiologic Technologist,GS-10,10,10,844826600,Diagnostic Radiologic Technologist ( Special Procedures),Department of Veterans Affairs,2025-09-03 00:00:00.000,2025-09-17T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-10
Excepted,"San Diego, California",0647,Diagnostic Radiologic Technologist,GS-10,10,10,844829100,Diagnostic Radiologic Technologist ( Special Procedures),Department of Veterans Affairs,2025-09-03 00:00:00.000,2025-09-17T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-10
Excepted,"Bay Pines, Florida",0647,Diagnostic Radiologic Technologist,GS-8,8,8,844868500,Diagnostic Radiologic Technologist (General Radiology),Department of Veterans Affairs,2025-09-03 11:16:11.560,2025-09-11T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-8
Excepted,"Birmingham, Alabama",0647,Diagnostic Radiologic Technologist,GS-8,8,8,844878000,Diagnostic Radiologic Technologist ( General),Department of Veterans Affairs,2025-09-03 10:49:00.933,2025-09-26T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-8
Excepted,"Chillicothe, Ohio",0647,Diagnostic Radiologic Technologist,GS-8,8,8,844881300,Diagnostic Radiologic Technologist,Department of Veterans Affairs,2025-09-03 10:49:08.303,2025-09-15T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-8
Excepted,"Syracuse, New York",0647,Diagnostic Radiologic Technologist,GS-9,9,9,844883400,Diagnostic Radiologic Technologist (Compt Tom),Department of Veterans Affairs,2025-09-03 11:00:02.683,2025-09-26T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-9
Excepted,"Bronx, New York",0647,Diagnostic Radiologic Technologist,GS-9,9,9,844911200,Diagnostic Radiologic Technologist (CT),Department of Veterans Affairs,2025-09-03 13:54:19.253,2025-09-26T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-9
Excepted,"Bay Pines, Florida",0647,Diagnostic Radiologic Technologist,GS-9,9,9,844957200,Diagnostic Radiologic Technologist - CT,Department of Veterans Affairs,2025-09-03 17:07:08.803,2025-09-11T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-9
Excepted,"Stockton, California",0647,Diagnostic Radiologic Technologist,GS-12,12,12,845001000,Supervisory Diagnostic Radiologic Technologist,Department of Veterans Affairs,2025-09-05 00:00:00.000,2025-09-15T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-12
Excepted,"East Orange, New Jersey",0647,Diagnostic Radiologic Technologist,GS-10,10,10,845008300,Advanced Diagnostic Radiologic Technologist,Department of Veterans Affairs,2025-09-05 00:00:00.000,2025-12-05T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-10
Excepted,"East Orange, New Jersey",0647,Diagnostic Radiologic Technologist,GS-10,10,10,845008500,Advanced Diagnostic Radiologic Technologist,Department of Veterans Affairs,2025-09-05 00:00:00.000,2025-12-05T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-10
Excepted,"Eureka, California",0647,Diagnostic Radiologic Technologist,GS-9,9,9,845047800,Diagnostic Radiologic Technologist (CT),Department of Veterans Affairs,2025-09-04 13:57:45.180,2025-09-12T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-9
Excepted,"Hampton, Virginia",0647,Diagnostic Radiologic Technologist,GS-9,9,9,845055500,Diagnostic Radiologic Technologist - Mammography,Department of Veterans Affairs,2025-09-04 14:29:49.467,2025-09-19T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-9
Excepted,"Mather AFB, California",0647,Diagnostic Radiologic Technologist,GS-8,8,8,845086000,Diagnstc Radiologic Tech,Department of Veterans Affairs,2025-09-05 00:00:00.000,2025-09-15T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-8
Excepted,"White River Junction, Vermont",0647,Diagnostic Radiologic Technologist,GS-9,9,9,845100100,Diagnostic Radiologic Technologist,Department of Veterans Affairs,2025-09-05 07:00:37.180,2025-09-19T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-9
Excepted,"White River Junction, Vermont",0647,Diagnostic Radiologic Technologist,GS-9,9,9,845100300,Diagnostic Radiologic Technologist,Department of Veterans Affairs,2025-09-05 07:01:41.617,2025-09-19T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-9
Excepted,"Martinsburg, West Virginia",0647,Diagnostic Radiologic Technologist,GS-9,9,9,845112700,Diagnostic Radiologic Technologist-Computed Tomography,Department of Veterans Affairs,2025-09-05 00:00:00.000,2025-09-26T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-9
Excepted,"Cleveland, Ohio",0647,Diagnostic Radiologic Technologist,GS-9,9,9,845146400,Diagnostic Radiologic Technologist (MRI),Department of Veterans Affairs,2025-09-05 12:10:06.333,2025-09-19T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-9
Excepted,"Tampa, Florida",0647,Diagnostic Radiologic Technologist,GS-9,9,9,845294500,Diagnostic Radiologic Technologist (Computed Tomography) Evenings,Department of Veterans Affairs,2025-09-08 14:32:15.260,2025-09-17T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-9
Excepted,"Hampton, Virginia",0647,Diagnostic Radiologic Technologist,GS-9,9,9,845296800,Supervisory Diagnostic Radiological Technologist,Department of Veterans Affairs,2025-09-09 00:00:00.000,2025-09-22T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-9
Competitive,"Tacoma, Washington",0647,Diagnostic Radiologic Technologist,GS-8,8,8,845329500,Diagnostic Radiologic Technologist (Computed Tomography),Department of Defense,2025-09-09 00:00:00.000,2025-09-25T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-8
Excepted,"Miami, Florida",0647,Diagnostic Radiologic Technologist,GS-9,9,9,845348800,Diagnostic Radiologic Technologist (Computed Tomography),Department of Veterans Affairs,2025-09-09 08:20:21.523,2025-09-17T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-9
Excepted,"Orlando, Florida",0647,Diagnostic Radiologic Technologist,GS-5/8,5,8,845367900,Diagnostic Radiologic Technologist,Department of Veterans Affairs,2025-09-09 09:52:13.647,2025-09-17T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-5/8
Excepted,"Jacksonville, Florida",0647,Diagnostic Radiologic Technologist,GS-5/8,5,8,845514800,Diagnostic Radiologic Technologist,Department of Veterans Affairs,2025-09-10 10:40:21.897,2025-09-26T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-5/8
Excepted,"Canandaigua, New York",0647,Diagnostic Radiologic Technologist,GS-9,9,9,845578500,Diagnstc Radiologic Tech,Department of Veterans Affairs,2025-09-10 15:05:30.590,2025-09-22T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-9
Excepted,"Chicago, Illinois",0647,Diagnostic Radiologic Technologist,GS-9,9,9,845645500,Diagnostic Radiologic Technologist (X-Ray),Department of Veterans Affairs,2025-09-11 10:03:04.707,2025-09-16T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-9
Excepted,"Chicago, Illinois",0647,Diagnostic Radiologic Technologist,GS-9,9,9,845645800,Diagnostic Radiologic Technologist (CT),Department of Veterans Affairs,2025-09-11 10:03:59.343,2025-09-16T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-9
Excepted,"Chicago, Illinois",0647,Diagnostic Radiologic Technologist,GS-9,9,9,845646500,Diagnostic Radiologic Technologist (MRI),Department of Veterans Affairs,2025-09-11 10:05:37.187,2025-09-16T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-9
Excepted,"Big Spring, Texas",0647,Diagnostic Radiologic Technologist,GS-12,12,12,845675800,Diagnostic Radiologic Technologist (Radiology Administrator),Department of Veterans Affairs,2025-09-11 11:57:12.250,2025-09-16T23:59:59.9970,0647 - Diagnostic Radiologic Technologist,GS-12
Excepted,"Washington, District of Columbia",0648,Therapeutic Radiologic Technologist,GS-10,10,10,838574500,Therapeutic Radiologic Technologist,Department of Veterans Affairs,2025-06-11 08:18:51.890,2025-12-11T23:59:59.9970,0648 - Therapeutic Radiologic Technologist,GS-10
Excepted,"Washington, District of Columbia",0648,Therapeutic Radiologic Technologist,GS-10,10,10,838574600,Therapeutic Radiologic Technologist,Department of Veterans Affairs,2025-06-11 08:19:30.533,2025-12-11T23:59:59.9970,0648 - Therapeutic Radiologic Technologist,GS-10
Excepted,"Detroit, Michigan",0648,Therapeutic Radiologic Technologist,GS-12,12,12,841599900,Therapeutic Radiologic Technologist (Dosimetrist),Department of Veterans Affairs,2025-07-24 00:00:00.000,2025-09-26T23:59:59.9970,0648 - Therapeutic Radiologic Technologist,GS-12
Excepted,"Houston, Texas",0648,Therapeutic Radiologic Technologist,GS-12,12,12,843434700,Lead Therapeutic Radiologic Technologist (Dosimetrist),Department of Veterans Affairs,2025-09-11 11:29:18.150,2025-09-22T23:59:59.9970,0648 - Therapeutic Radiologic Technologist,GS-12
Excepted,"Houston, Texas",0648,Therapeutic Radiologic Technologist,GS-12,12,12,843436100,Lead Therapeutic Radiologic Technologist (Dosimetrist),Department of Veterans Affairs,2025-09-11 11:28:23.610,2025-09-22T23:59:59.9970,0648 - Therapeutic Radiologic Technologist,GS-12
Excepted,"Seattle, Washington",0648,Therapeutic Radiologic Technologist,GS-12,12,12,845570200,Therapeutic Radiologic Technologist (Medical Dosimetrist),Department of Veterans Affairs,2025-09-10 14:35:09.227,2025-09-25T23:59:59.9970,0648 - Therapeutic Radiologic Technologist,GS-12
Excepted,"Seattle, Washington",0648,Therapeutic Radiologic Technologist,GS-12,12,12,845570700,Therapeutic Radiologic Technologist (Medical Dosimetrist),Department of Veterans Affairs,2025-09-10 14:33:55.163,2025-09-25T23:59:59.9970,0648 - Therapeutic Radiologic Technologist,GS-12
Competitive,"Pine Ridge, South Dakota",0649,Medical Instrument Technician,GS-8,8,8,789025500,Medical Instrument Technician (Ultrasound),Department of Health and Human Services,2025-07-30 00:00:00.000,2025-09-17T23:59:59.9970,0649 - Medical Instrument Technician,GS-8
Competitive,"Pine Ridge, South Dakota",0649,Medical Instrument Technician,GS-8,8,8,789026200,Medical Instrument Technician (Ultrasound),Department of Health and Human Services,2025-07-30 00:00:00.000,2025-12-31T23:59:59.9970,0649 - Medical Instrument Technician,GS-8
Excepted,"Inscription House, Arizona",0649,Medical Instrument Technician,GS-9/10,9,10,835402900,Medical Instrument Technician (Ultrasound) - ESEP/MP,Department of Health and Human Services,2025-08-11 00:00:00.000,2025-09-26T23:59:59.9970,0649 - Medical Instrument Technician,GS-9/10
Excepted,"Huntsville, Alabama",0649,Medical Instrument Technician,GS-8,8,8,837987700,Medical Instrument Technician (Echocardiography),Department of Veterans Affairs,2025-06-02 16:01:44.670,2025-09-30T23:59:59.9970,0649 - Medical Instrument Technician,GS-8
Competitive,"Landstuhl, Germany",0649,Medical Instrument Technician,GS-8,8,8,839156700,Medical Instrument Technician (Cardiovascular),Department of Defense,2025-06-20 00:00:00.000,2025-09-26T23:59:59.9970,0649 - Medical Instrument Technician,GS-8
Excepted,"Martinsburg, West Virginia",0649,Medical Instrument Technician,GS-6/8,6,8,840307800,Medical Instrument Technician (Echocardiography),Department of Veterans Affairs,2025-07-09 00:00:00.000,2025-09-26T23:59:59.9970,0649 - Medical Instrument Technician,GS-6/8
Excepted,"Martinsburg, West Virginia",0649,Medical Instrument Technician,GS-8,8,8,840307900,Medical Instrument Technician (Echocardiography),Department of Veterans Affairs,2025-07-09 00:00:00.000,2025-09-26T23:59:59.9970,0649 - Medical Instrument Technician,GS-8
Excepted,"Maplewood, Minnesota",0649,Medical Instrument Technician,GS-4/8,4,8,840388800,Medical Instrument Technician (Echocardiography),Department of Veterans Affairs,2025-07-09 00:00:00.000,2025-09-23T23:59:59.9970,0649 - Medical Instrument Technician,GS-4/8
Excepted,"Burlington, Vermont",0649,Medical Instrument Technician,GS-4/8,4,8,840624800,Medical Instrument Technician (Polysomnography),Department of Veterans Affairs,2025-08-27 07:43:10.123,2025-09-11T23:59:59.9970,0649 - Medical Instrument Technician,GS-4/8
Excepted,"Salt Lake City, Utah",0649,Medical Instrument Technician,GS-4/7,4,7,840644300,Medical Instrument Technician-EKG,Department of Veterans Affairs,2025-07-14 00:00:00.000,2025-09-26T23:59:59.9970,0649 - Medical Instrument Technician,GS-4/7
Excepted,"Montgomery, Alabama",0649,Medical Instrument Technician,GS-9,9,9,840829600,Medical Instrument Technician (Diagnostic Ultrasound),Department of Veterans Affairs,2025-07-16 00:00:00.000,2025-09-26T23:59:59.9970,0649 - Medical Instrument Technician,GS-9
Excepted,"Omaha, Nebraska",0649,Medical Instrument Technician,GS-8,8,8,840890800,Medical Instrument Technician (Echocardiography),Department of Veterans Affairs,2025-07-16 00:00:00.000,2025-09-26T23:59:59.9970,0649 - Medical Instrument Technician,GS-8
Excepted,"Nashville, Tennessee",0649,Medical Instrument Technician,GS-7,7,7,841624100,Medical Instrument Technician (EKG),Department of Veterans Affairs,2025-07-24 00:00:00.000,2025-09-25T23:59:59.9970,0649 - Medical Instrument Technician,GS-7
Excepted,"Martinsburg, West Virginia",0649,Medical Instrument Technician,GS-6/8,6,8,841766000,Medical Instrument Technician (Polysomnography),Department of Veterans Affairs,2025-07-28 00:00:00.000,2025-09-26T23:59:59.9970,0649 - Medical Instrument Technician,GS-6/8
Excepted,"Martinsburg, West Virginia",0649,Medical Instrument Technician,GS-6/8,6,8,841766600,Medical Instrument Technician (Polysomnography),Department of Veterans Affairs,2025-07-28 00:00:00.000,2025-09-26T23:59:59.9970,0649 - Medical Instrument Technician,GS-6/8
Excepted,"Dallas, Texas",0649,Medical Instrument Technician,GS-4/8,4,8,841880200,Medical Instrument Technician (Cardiac Catheterization and EP),Department of Veterans Affairs,2025-07-29 09:53:32.433,2025-12-01T23:59:59.9970,0649 - Medical Instrument Technician,GS-4/8
Excepted,"Dallas, Texas",0649,Medical Instrument Technician,GS-8,8,8,841880700,Medical Instrument Technician (Cardiac Catheterization and EP),Department of Veterans Affairs,2025-07-29 09:53:35.063,2025-12-01T23:59:59.9970,0649 - Medical Instrument Technician,GS-8
Competitive,"Lame Deer, Montana",0649,Medical Instrument Technician,GS-8,8,8,842032200,Medical Instrument Technician (Ultrasound),Department of Health and Human Services,2025-07-30 00:00:00.000,2025-09-17T23:59:59.9970,0649 - Medical Instrument Technician,GS-8
Competitive,"Lame Deer, Montana",0649,Medical Instrument Technician,GS-8,8,8,842033100,Medical Instrument Technician (Ultrasound),Department of Health and Human Services,2025-07-30 00:00:00.000,2025-09-17T23:59:59.9970,0649 - Medical Instrument Technician,GS-8
Excepted,"Albuquerque, New Mexico",0649,Medical Instrument Technician,GS-4/7,4,7,842442600,Medical Instrument Technician (GI),Department of Veterans Affairs,2025-08-04 00:00:00.000,2025-09-12T23:59:59.9970,0649 - Medical Instrument Technician,GS-4/7
Competitive,"Atlanta, Georgia",0649,Medical Instrument Technician,GS-6/9,6,9,842756700,Med Instrument Tech (Echocardiography)OCA,Department of Veterans Affairs,2025-08-07 09:39:33.053,2025-09-30T23:59:59.9970,0649 - Medical Instrument Technician,GS-6/9
Excepted,"Seattle, Washington",0649,Medical Instrument Technician,GS-4/7,4,7,842909600,Medical Instrument Technician (EKG),Department of Veterans Affairs,2025-08-08 00:00:00.000,2025-09-30T23:59:59.9970,0649 - Medical Instrument Technician,GS-4/7
Excepted,"Seattle, Washington",0649,Medical Instrument Technician,GS-4/7,4,7,842910000,Medical Instrument Technician (EKG),Department of Veterans Affairs,2025-08-08 00:00:00.000,2025-09-30T23:59:59.9970,0649 - Medical Instrument Technician,GS-4/7
Competitive,"Fort Jackson, South Carolina",0649,Medical Instrument Technician,GS-8,8,8,842929500,Medical Instrument Technician (Magnetic Resonance Imaging),Department of Defense,2025-08-11 00:00:00.000,2025-09-23T23:59:59.9970,0649 - Medical Instrument Technician,GS-8
Excepted,"Topeka, Kansas",0649,Medical Instrument Technician,GS-4/8,4,8,843363100,Medical Instrument Technician (Echocardiography),Department of Veterans Affairs,2025-08-14 00:00:00.000,2025-09-26T23:59:59.9970,0649 - Medical Instrument Technician,GS-4/8
Excepted,"Topeka, Kansas",0649,Medical Instrument Technician,GS-8,8,8,843364300,Medical Instrument Technician (Echocardiography),Department of Veterans Affairs,2025-08-14 00:00:00.000,2025-09-26T23:59:59.9970,0649 - Medical Instrument Technician,GS-8
Excepted,"Huntsville, Alabama",0649,Medical Instrument Technician,GS-6/8,6,8,843482900,MIT (Echocardiography),Department of Veterans Affairs,2025-08-15 09:24:52.160,2025-09-30T23:59:59.9970,0649 - Medical Instrument Technician,GS-6/8
Excepted,"Birmingham, Alabama",0649,Medical Instrument Technician,GS-6/8,6,8,843525700,Med Inst Tech (Echocardio,Department of Veterans Affairs,2025-08-15 13:24:30.790,2025-09-30T23:59:59.9970,0649 - Medical Instrument Technician,GS-6/8
Excepted,"Des Moines, Iowa",0649,Medical Instrument Technician,GS-9,9,9,843640800,Medical Instrument Technician (Polysomnography),Department of Veterans Affairs,2025-08-18 00:00:00.000,2025-09-26T23:59:59.9970,0649 - Medical Instrument Technician,GS-9
Excepted,"Madison, Wisconsin",0649,Medical Instrument Technician,GS-5/7,5,7,843943500,Medical Instrument Technician (GI),Department of Veterans Affairs,2025-08-22 00:00:00.000,2025-09-12T23:59:59.9970,0649 - Medical Instrument Technician,GS-5/7
Excepted,"Temple, Texas",0649,Medical Instrument Technician,GS-9,9,9,844035200,Medical Instrument Technician - Echocardiography - Relocation or Recruitment Incentive,Department of Veterans Affairs,2025-08-21 00:00:00.000,2025-09-16T23:59:59.9970,0649 - Medical Instrument Technician,GS-9
Excepted,"Burlington, Vermont",0649,Medical Instrument Technician,GS-4/8,4,8,844401500,Medical Instrument Technician (Polysomnography),Department of Veterans Affairs,2025-08-27 07:41:49.327,2025-09-11T23:59:59.9970,0649 - Medical Instrument Technician,GS-4/8
Excepted,"Milwaukee, Wisconsin",0649,Medical Instrument Technician,GS-6/7,6,7,844630700,Medical Instrument Technician (GI),Department of Veterans Affairs,2025-08-28 15:47:32.180,2025-09-11T23:59:59.9970,0649 - Medical Instrument Technician,GS-6/7
Excepted,"Portland, Oregon",0649,Medical Instrument Technician,GS-6/8,6,8,844644600,Medical Instrument Technician (Hemodialysis) Intermittent,Department of Veterans Affairs,2025-08-28 17:40:10.117,2025-09-16T23:59:59.9970,0649 - Medical Instrument Technician,GS-6/8
Excepted,"Portland, Oregon",0649,Medical Instrument Technician,GS-6/8,6,8,844644700,Medical Instrument Technician (Hemodialysis) Intermittent,Department of Veterans Affairs,2025-08-28 17:39:06.763,2025-09-16T23:59:59.9970,0649 - Medical Instrument Technician,GS-6/8
Excepted,"West Roxbury, Massachusetts",0649,Medical Instrument Technician,GS-4/8,4,8,844763800,Medical Instrument Technician - Anesthesia,Department of Veterans Affairs,2025-09-02 10:19:04.237,2025-09-12T23:59:59.9970,0649 - Medical Instrument Technician,GS-4/8
Excepted,"Atlanta, Georgia",0649,Medical Instrument Technician,GS-8,8,8,844796800,Medical Instrument Technician( Polysomnography),Department of Veterans Affairs,2025-08-29 00:00:00.000,2025-09-26T23:59:59.9970,0649 - Medical Instrument Technician,GS-8
Excepted,"Columbus, Ohio",0649,Medical Instrument Technician,GS-9,9,9,844825000,Medical Instrument Technician-Diagnostic Ultrasound,Department of Veterans Affairs,2025-09-02 16:08:57.350,2025-09-12T23:59:59.9970,0649 - Medical Instrument Technician,GS-9
Excepted,"San Francisco, California",0649,Medical Instrument Technician,GS-7,7,7,844841600,Medical Instrument Technicians (EKG),Department of Veterans Affairs,2025-09-03 00:00:00.000,2025-09-12T23:59:59.9970,0649 - Medical Instrument Technician,GS-7
Excepted,"Kernersville, North Carolina",0649,Medical Instrument Technician,GS-8,8,8,844882800,Med Inst Tech(Cardiac Ca),Department of Veterans Affairs,2025-09-03 10:56:40.080,2025-09-12T23:59:59.9970,0649 - Medical Instrument Technician,GS-8
Excepted,"Portland, Oregon",0649,Medical Instrument Technician,GS-6/8,6,8,844893900,Medical Instrument Technician (Hemodialysis),Department of Veterans Affairs,2025-08-27 00:00:00.000,2025-09-15T23:59:59.9970,0649 - Medical Instrument Technician,GS-6/8
Excepted,"Portland, Oregon",0649,Medical Instrument Technician,GS-6/8,6,8,844894400,Med Inst Tech (Hemodial),Department of Veterans Affairs,2025-08-27 00:00:00.000,2025-09-15T23:59:59.9970,0649 - Medical Instrument Technician,GS-6/8
Excepted,"Dayton, Ohio",0649,Medical Instrument Technician,GS-8,8,8,844921500,Medical Instrument Technician (Polysomnography),Department of Veterans Affairs,2025-09-03 14:01:56.977,2025-09-16T23:59:59.9970,0649 - Medical Instrument Technician,GS-8
Excepted,"Cleveland, Ohio",0649,Medical Instrument Technician,GS-9,9,9,844941500,Medical Instrument Technologist (Diagnostic Ultrasound),Department of Veterans Affairs,2025-09-03 15:35:26.317,2025-09-17T23:59:59.9970,0649 - Medical Instrument Technician,GS-9
Excepted,"Cleveland, Ohio",0649,Medical Instrument Technician,GS-9,9,9,844942100,Medical Instrument Technologist (Diagnostic Ultrasound),Department of Veterans Affairs,2025-09-03 15:38:58.080,2025-09-17T23:59:59.9970,0649 - Medical Instrument Technician,GS-9
Excepted,"Clarksburg, West Virginia",0649,Medical Instrument Technician,GS-8,8,8,844986400,Medical Instrument Technician (Polysomnography),Department of Veterans Affairs,2025-09-04 00:00:00.000,2025-09-26T23:59:59.9970,0649 - Medical Instrument Technician,GS-8
Excepted,"Kent, Ohio",0649,Medical Instrument Technician,GS-9,9,9,845005000,Medical Instrument Technician (Diagnostic Ultrasound),Department of Veterans Affairs,2025-09-04 10:50:29.760,2025-10-20T23:59:59.9970,0649 - Medical Instrument Technician,GS-9
Competitive,"Atlanta, Georgia",0649,Medical Instrument Technician,GS-8,8,8,845035200,Med Instr Tech (Anesth),Department of Veterans Affairs,2025-09-04 13:00:43.473,2025-09-17T23:59:59.9970,0649 - Medical Instrument Technician,GS-8
Excepted,"Baltimore, Maryland",0649,Medical Instrument Technician,GS-10,10,10,845159200,Supervisory Medical  Instrument Technician (Polysomnography),Department of Veterans Affairs,2025-09-08 00:00:00.000,2025-09-22T23:59:59.9970,0649 - Medical Instrument Technician,GS-10
Excepted,"Portland, Oregon",0649,Medical Instrument Technician,GS-9,9,9,845207800,Medical Instrument Technician (Diagnostic Ultrasound Technician),Department of Veterans Affairs,2025-09-04 00:00:00.000,2025-09-18T23:59:59.9970,0649 - Medical Instrument Technician,GS-9
Excepted,"Portland, Oregon",0649,Medical Instrument Technician,GS-9,9,9,845207900,Medical Instrument Technician (Diagnostic Ultrasound Technician),Department of Veterans Affairs,2025-09-04 00:00:00.000,2025-09-18T23:59:59.9970,0649 - Medical Instrument Technician,GS-9
Excepted,"Ann Arbor, Michigan",0649,Medical Instrument Technician,GS-9,9,9,845221000,Supervisor Medical Instrument Tech (GI),Department of Veterans Affairs,2025-09-08 06:07:49.833,2025-09-15T23:59:59.9970,0649 - Medical Instrument Technician,GS-9
Excepted,"Des Moines, Iowa",0649,Medical Instrument Technician,GS-9,9,9,845276200,Medical Instrument Technician (Diagnostic Ultrasound),Department of Veterans Affairs,2025-09-08 13:20:06.437,2025-09-26T23:59:59.9970,0649 - Medical Instrument Technician,GS-9
Excepted,"Iowa City, Iowa",0649,Medical Instrument Technician,GS-4/8,4,8,845296700,Medical Instrument Technician (Electroencephalography) - EEG,Department of Veterans Affairs,2025-09-08 14:45:09.750,2025-09-22T23:59:59.9970,0649 - Medical Instrument Technician,GS-4/8
Excepted,"Albany, New York",0649,Medical Instrument Technician,GS-8,8,8,845341000,Medical Instrument Technician (Hemodialysis),Department of Veterans Affairs,2025-09-09 06:43:45.407,2025-09-22T23:59:59.9970,0649 - Medical Instrument Technician,GS-8
